title,authors,average_rating,ratings_count,popularity_score
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,2095690,4.561868255730372
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,2339585,4.552820807669402
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,2153167,4.483077395292528
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,101233,4.451276678874978
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,41428,4.4450754089409426
The Complete Maus,Art Spiegelman,4.55,111475,4.429353844408864
The Two Towers (The Lord of the Rings  #2),J.R.R. Tolkien/Peter S. Beagle,4.44,593467,4.417863122334622
The Complete Calvin and Hobbes,Bill Watterson,4.82,32213,4.414770420452166
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,4.42,2293963,4.414314942297125
A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin,4.41,638766,4.390590511468204
